PROCESSO ADMIN. Nº,PROCESSO Nº,JUÍZO__gt,JUÍZO__pred,status
021510-34.2025.8.15,0828969-58.2024.8.15.0001,5ª Vara Cível da Comarca de Campina Grande,5ª Vara Cível da Comarca de Campina Grande,TP
2025605828,0802846-46.2023.8.15.0231,2ª Vara Mista da Comarca de Mamanguape,2ª Vara Mista da Comarca de Mamanguape,TP
2071513495,0800465-07.2022.8.15.0391,"4ª Vara Cível de Cáceres/MT, o suscitante.” (1ª","4ª Vara Cível de Cáceres/MT, o suscitante.” (1ª",TP
2061216362,0800885-94.2022.8.15.0881,Vara Única da Comarca de São Bento,Vara Única da Comarca de São Bento,TP
021726-62.2025.8.15,0809943-31.2024.8.15.0371,1ª Vara da Comarca de Sousa,1ª Vara da Comarca de Sousa,TP
2000001173,0800430-22.2022.8.15.0561,prejudicado.,prejudicado.,TP
022027-13.2025.8.15,0801232-63.2025.8.15.0351,2ª Vara Mista da Comarca de Sapé,2ª Vara Mista da Comarca de Sapé,TP
2025.815,0802789-85.2025.8.15.0351,2ª Vara Mista da Comarca de Sapé,2ª Vara Mista da Comarca de Sapé,TP
022061-21.2025.8.15,0802787-18.2025.8.15.0351,2ª Vara Mista da Comarca de Sapé,2ª Vara Mista da Comarca de Sapé,TP
2022.815,0806165-11.2022.8.15.0731,1ª Vara Mista da Comarca de Cabedelo,1ª Vara Mista da Comarca de Cabedelo,TP
2008324544,0800016-38.2023.8.15.0351,2ª Vara Mista da Comarca de Sapé,2ª Vara Mista da Comarca de Sapé,TP
2045545624,0818809-90.2021.8.15.2001,13ª Vara Cível da Comarca da Capital,13ª Vara Cível da Comarca da Capital,TP
